台区标识,日期,功率因数均值,功率因数标准差,三相不平衡均值,三相不平衡标准差,电压均值,电压标准差,电流均值,电流方差,负载率均值,负载率标准差,线损
1651044,20171007,92.73854167,10.09206959,0.514510417,0.23252109,234.9538194,4.207919038,0.279569444,0.221535116,0.057141875,0.047110367,0.417367987
1651044,20171008,88.38333333,13.48282601,0.492035417,0.213371907,234.4583333,3.80151651,0.282159722,0.214020156,0.058492813,0.037740325,0.382937555
1651044,20171009,99.46086957,0.836264536,0.815069565,0.149133162,237.2528986,3.309345398,0.14193617,0.173490622,0.012392609,0.005612778,-0.501909722
1651044,20171010,96.48020833,4.453126706,0.591403125,0.279534923,236.0145833,4.560784971,0.176836134,0.210330079,0.046304375,0.051552045,0.460757156
1651044,20171011,97.48229167,2.993673704,0.551708333,0.251732506,234.8899306,4.977812158,0.224822917,0.244976388,0.047027813,0.047520689,0.449975775
1651044,20171012,97.04166667,4.517919568,0.562364583,0.260267284,234.9430556,4.460196694,0.198486111,0.213603848,0.04046875,0.038239209,0.348423423
1651044,20171013,96.9125,4.577532314,0.601089583,0.243507961,234.8927083,4.76880586,0.136881944,0.153908883,0.02436375,0.023071092,0.073182624
1651044,20171014,96.640625,4.778414532,0.583019792,0.219715923,234.9385417,4.299508284,0.143472222,0.149318449,0.034458125,0.034870134,0.191203704
1651044,20171015,96.16770833,5.297080461,0.596403125,0.261495925,235.1364583,4.198456722,0.221038194,0.260977294,0.045306563,0.048714689,0.328757737
1651044,20171016,95.11666667,6.21623658,0.615930208,0.272316795,235.0815972,4.796661334,0.218048611,0.25048874,0.043183125,0.050139035,0.332525253
1651044,20171017,95.940625,5.740346573,0.589639583,0.225199586,235.4583333,5.090800526,0.127260417,0.122107271,0.03047125,0.030631676,0.191279887
1651044,20171018,94.30416667,7.048550629,0.650305208,0.210126581,235.2902778,4.864052087,0.126902778,0.130059939,0.022208125,0.015500119,-0.101519916
1651044,20171019,93.75416667,6.200872194,0.662372917,0.226274724,234.6701389,4.75746606,0.110798611,0.092744615,0.021164063,0.014558484,-0.1467827
1651044,20171020,94.246875,6.168551848,0.610315625,0.210871208,235.0489583,4.362760533,0.104395833,0.082341069,0.023469375,0.01779559,-0.16196319
1651044,20171021,94.65104167,5.234441127,0.577239583,0.220560317,235.5038194,4.326206398,0.143263889,0.130239229,0.0327925,0.02520649,0.022689076
1651044,20171022,97.1,3.852839862,0.651514583,0.24721899,235.246875,4.495992501,0.141315972,0.133585884,0.026838438,0.026725973,0.087121212
1651044,20171023,91.66354167,6.891678554,0.606696875,0.220628928,234.6881944,5.266317189,0.156041667,0.203469144,0.028976563,0.021959213,-0.117957746
1651044,20171024,97.95625,3.004434656,0.589465625,0.26804385,234.265625,5.79516971,0.164680556,0.157111476,0.036776875,0.037873272,0.234731735
1651044,20171025,97.07916667,4.381897341,0.623469792,0.228699562,234.4472222,5.278717022,0.166322917,0.192891782,0.034229688,0.039377221,0.19514157
1651044,20171026,93.54791667,6.457924382,0.618153125,0.214940875,234.3010417,5.404797794,0.173989583,0.18069016,0.036822813,0.028445125,-0.110448718
1651044,20171027,95.61875,6.443218536,0.64925625,0.242300761,235.0625,4.638342242,0.153697917,0.153573461,0.027225,0.026467574,0.073996914
1651044,20171028,95.7625,5.021334691,0.649160417,0.236975753,233.6888889,5.77601736,0.173930556,0.210983483,0.042199688,0.055073794,0.188322718
1651044,20171029,97.896875,2.921096153,0.666546875,0.242899761,234.115625,5.37587838,0.189590278,0.242125854,0.03454625,0.035355154,0.28269697
1651044,20171030,95.70520833,5.371246166,0.607979167,0.263865693,233.0690972,6.179529087,0.189559028,0.223907262,0.04114125,0.052718442,0.377822581
1651044,20171031,97.32083333,3.892378147,0.661010417,0.224088496,233.3152778,5.858983125,0.207121528,0.268976628,0.038774688,0.050555614,0.375883002
1651044,20171101,94.24375,6.869661753,0.58713125,0.228935623,233.3760417,5.24724289,0.203638889,0.256081804,0.044499375,0.051371668,0.482770961
1651044,20171102,93.53645833,8.549611587,0.623645833,0.256448411,230.8267361,8.090405869,0.153260417,0.150212713,0.037318438,0.035588205,0.277438272
1651044,20171103,92.009375,10.49677607,0.67774375,0.247858339,232.0215278,6.616747094,0.150555556,0.169684461,0.022413438,0.017290266,-0.057208589
1651044,20171104,93.46458333,9.06126117,0.732584375,0.235894227,233.3020833,6.141519319,0.106736111,0.089617589,0.02042125,0.013497532,-0.16120892
1651044,20171105,94.525,7.815716005,0.709251042,0.237475865,234.6114583,4.33639803,0.104614583,0.085460034,0.0228975,0.016121318,0.026568627
1651044,20171106,95.25,6.513319686,0.622601042,0.314698929,233.4052083,6.041994873,0.177486111,0.182524199,0.03992625,0.041803176,0.270833333
1651044,20171107,95.74375,4.966508929,0.674547917,0.273609096,232.8083333,5.699689319,0.176756944,0.192803738,0.032476875,0.02913609,0.247736626
1651044,20171108,96.409375,5.34840471,0.733180208,0.246401386,233.5958333,5.034007612,0.122038194,0.114695287,0.021491875,0.012957219,0.044949495
